RC-4HC Temperature+Humidity Data Logger;;;
User Information;00V281;;
289;2022-03-04 13:30:47;21.2;44.9
290;2022-03-04 13:35:47;21.2;44.7
291;2022-03-04 13:40:47;21.2;44.5
292;2022-03-04 13:45:47;21.2;44.4
293;2022-03-04 13:50:47;21.2;44.3
294;2022-03-04 13:55:47;21.2;44.2
295;2022-03-04 14:00:47;21.2;44.1
296;2022-03-04 14:05:47;21.3;44
297;2022-03-04 14:10:47;21.3;43.7
298;2022-03-04 14:15:47;21.3;43.8
299;2022-03-04 14:20:47;21.2;44.2
300;2022-03-04 14:25:47;21.3;44.3
301;2022-03-04 14:30:47;21.3;44.2
302;2022-03-04 14:35:47;21.3;43.7
303;2022-03-04 14:40:47;21.3;43.7
304;2022-03-04 14:45:47;21.3;43.6
305;2022-03-04 14:50:47;21.3;43.7
306;2022-03-04 14:55:47;21.3;43.6
307;2022-03-04 15:00:47;21.3;43.6
308;2022-03-04 15:05:47;21.4;44.2
309;2022-03-04 15:10:47;21.5;45.6
310;2022-03-04 15:15:47;21.5;44.7
311;2022-03-04 15:20:47;21.5;44.6
312;2022-03-04 15:25:47;21.5;44.5
313;2022-03-04 15:30:47;21.6;44.3
314;2022-03-04 15:35:47;21.7;44.2
315;2022-03-04 15:40:47;21.7;44.8
316;2022-03-04 15:45:47;21.7;44.7
317;2022-03-04 15:50:47;21.7;45.1
318;2022-03-04 15:55:47;21.7;44.8
319;2022-03-04 16:00:47;21.8;45
320;2022-03-04 16:05:47;21.8;44.8
321;2022-03-04 16:10:47;21.8;45.3
322;2022-03-04 16:15:47;21.8;44.7
323;2022-03-04 16:20:47;21.8;44.7
324;2022-03-04 16:25:47;21.8;44.5
325;2022-03-04 16:30:47;21.8;44.1
326;2022-03-04 16:35:47;21.8;44
327;2022-03-04 16:40:47;21.8;43.9
328;2022-03-04 16:45:47;21.8;43.9
329;2022-03-04 16:50:47;21.8;43.8
330;2022-03-04 16:55:47;21.7;43.6
331;2022-03-04 17:00:47;21.7;43.4
332;2022-03-04 17:05:47;21.7;43.4
333;2022-03-04 17:10:47;21.7;43.4
334;2022-03-04 17:15:47;21.7;43.4
335;2022-03-04 17:20:47;21.7;43.5
336;2022-03-04 17:25:47;21.7;43.4
337;2022-03-04 17:30:47;21.6;43.2
338;2022-03-04 17:35:47;21.6;43.1
339;2022-03-04 17:40:47;21.5;43
340;2022-03-04 17:45:47;21.5;43.1
341;2022-03-04 17:50:47;21.5;43.3
342;2022-03-04 17:55:47;21.5;43
343;2022-03-04 18:00:47;21.4;42.8
344;2022-03-04 18:05:47;21.4;42.7
345;2022-03-04 18:10:47;21.3;42.5
346;2022-03-04 18:15:47;21.2;42.3
347;2022-03-04 18:20:47;21.2;42.2
348;2022-03-04 18:25:47;21.1;42.1
349;2022-03-04 18:30:47;21.1;42.1
350;2022-03-04 18:35:47;21;42
351;2022-03-04 18:40:47;21;42
352;2022-03-04 18:45:47;20.9;41.9
353;2022-03-04 18:50:47;20.9;41.8
354;2022-03-04 18:55:47;20.9;41.7
355;2022-03-04 19:00:47;20.8;41.6
356;2022-03-04 19:05:47;20.8;41.6
357;2022-03-04 19:10:47;20.7;41.4
358;2022-03-04 19:15:47;20.7;41.4
359;2022-03-04 19:20:47;20.7;41.4
360;2022-03-04 19:25:47;20.6;41.3
361;2022-03-04 19:30:47;20.6;41.3
362;2022-03-04 19:35:47;20.5;41.2
363;2022-03-04 19:40:47;20.5;41.1
364;2022-03-04 19:45:47;20.5;41.1
365;2022-03-04 19:50:47;20.4;41
366;2022-03-04 19:55:47;20.4;41
367;2022-03-04 20:00:47;20.4;42.7
368;2022-03-04 20:05:47;20.4;41.6
369;2022-03-04 20:10:47;20.4;42.9
370;2022-03-04 20:15:47;20.4;41.9
371;2022-03-04 20:20:47;20.4;42.8
372;2022-03-04 20:25:47;20.3;43.2
373;2022-03-04 20:30:47;20.3;42.6
374;2022-03-04 20:35:47;20.3;42.1
375;2022-03-04 20:40:47;20.2;41.8
376;2022-03-04 20:45:47;20.1;41.5
377;2022-03-04 20:50:47;20.1;41.9
378;2022-03-04 20:55:47;20.1;42.4
379;2022-03-04 21:00:47;20.1;43.2
380;2022-03-04 21:05:47;20.3;44.8
381;2022-03-04 21:10:47;20.4;45.8
382;2022-03-04 21:15:47;20.5;44.8
383;2022-03-04 21:20:47;20.3;43.5
384;2022-03-04 21:25:47;20.3;45.8
385;2022-03-04 21:30:47;20.6;45.9
386;2022-03-04 21:35:47;20.7;45.2
387;2022-03-04 21:40:47;20.7;45.8
388;2022-03-04 21:45:47;20.9;45.5
389;2022-03-04 21:50:47;20.9;45.5
390;2022-03-04 21:55:47;20.9;45.7
391;2022-03-04 22:00:47;20.9;45.2
392;2022-03-04 22:05:47;20.9;45.6
393;2022-03-04 22:10:47;21;45.6
394;2022-03-04 22:15:47;21.1;45.5
395;2022-03-04 22:20:47;21.2;45.5
396;2022-03-04 22:25:47;21.3;45.3
397;2022-03-04 22:30:47;21.3;45.3
398;2022-03-04 22:35:47;21.4;45.2
399;2022-03-04 22:40:47;21.4;45.1
400;2022-03-04 22:45:47;21.5;45.1
401;2022-03-04 22:50:47;21.5;45
402;2022-03-04 22:55:47;21.5;44.9
403;2022-03-04 23:00:47;21.5;44.9
404;2022-03-04 23:05:47;21.5;44.8
405;2022-03-04 23:10:47;21.5;44.8
406;2022-03-04 23:15:47;21.6;44.7
407;2022-03-04 23:20:47;21.6;44.7
408;2022-03-04 23:25:47;21.6;44.7
409;2022-03-04 23:30:47;21.6;44.6
410;2022-03-04 23:35:47;21.6;44.6
411;2022-03-04 23:40:47;21.6;44.6
412;2022-03-04 23:45:47;21.6;44.5
413;2022-03-04 23:50:47;21.7;44.5
414;2022-03-04 23:55:47;21.7;44.4
415;2022-03-05 00:00:47;21.7;44.4
416;2022-03-05 00:05:47;21.7;44.4
417;2022-03-05 00:10:47;21.7;44.4
418;2022-03-05 00:15:47;21.7;44.3
419;2022-03-05 00:20:47;21.7;44.3
420;2022-03-05 00:25:47;21.7;44.4
421;2022-03-05 00:30:47;21.7;44.3
422;2022-03-05 00:35:47;21.7;44.3
423;2022-03-05 00:40:47;21.7;44.3
424;2022-03-05 00:45:47;21.7;44.2
425;2022-03-05 00:50:47;21.7;44.2
426;2022-03-05 00:55:47;21.7;44.3
427;2022-03-05 01:00:47;21.7;44.3
428;2022-03-05 01:05:47;21.7;44.3
429;2022-03-05 01:10:47;21.6;44.2
430;2022-03-05 01:15:47;21.6;44.3
431;2022-03-05 01:20:47;21.6;44.2
432;2022-03-05 01:25:47;21.6;44.2
433;2022-03-05 01:30:47;21.6;44.2
434;2022-03-05 01:35:47;21.6;44.3
435;2022-03-05 01:40:47;21.6;44.2
436;2022-03-05 01:45:47;21.6;44.2
437;2022-03-05 01:50:47;21.6;44.3
438;2022-03-05 01:55:47;21.6;44.3
439;2022-03-05 02:00:47;21.6;44.3
440;2022-03-05 02:05:47;21.6;44.2
441;2022-03-05 02:10:47;21.6;44.3
442;2022-03-05 02:15:47;21.6;44.3
443;2022-03-05 02:20:47;21.5;44.3
444;2022-03-05 02:25:47;21.6;44.3
445;2022-03-05 02:30:47;21.5;44.3
446;2022-03-05 02:35:47;21.5;44.4
447;2022-03-05 02:40:47;21.5;44.3
448;2022-03-05 02:45:47;21.5;44.3
449;2022-03-05 02:50:47;21.5;44.4
450;2022-03-05 02:55:47;21.5;44.4
451;2022-03-05 03:00:47;21.5;44.4
452;2022-03-05 03:05:47;21.5;44.4
453;2022-03-05 03:10:47;21.5;44.5
454;2022-03-05 03:15:47;21.5;44.5
455;2022-03-05 03:20:47;21.5;44.4
456;2022-03-05 03:25:47;21.5;44.5
457;2022-03-05 03:30:47;21.5;44.5
458;2022-03-05 03:35:47;21.5;44.5
459;2022-03-05 03:40:47;21.5;44.5
460;2022-03-05 03:45:47;21.5;44.5
461;2022-03-05 03:50:47;21.5;44.5
462;2022-03-05 03:55:47;21.5;44.5
463;2022-03-05 04:00:47;21.5;44.6
464;2022-03-05 04:05:47;21.5;44.6
465;2022-03-05 04:10:47;21.5;44.5
466;2022-03-05 04:15:47;21.5;44.6
467;2022-03-05 04:20:47;21.5;44.6
468;2022-03-05 04:25:47;21.5;44.6
469;2022-03-05 04:30:47;21.5;44.6
470;2022-03-05 04:35:47;21.4;44.6
471;2022-03-05 04:40:47;21.4;44.6
472;2022-03-05 04:45:47;21.4;44.6
473;2022-03-05 04:50:47;21.4;44.6
474;2022-03-05 04:55:47;21.4;44.6
475;2022-03-05 05:00:47;21.4;44.6
476;2022-03-05 05:05:47;21.4;44.6
477;2022-03-05 05:10:47;21.4;44.6
478;2022-03-05 05:15:47;21.4;44.7
479;2022-03-05 05:20:47;21.4;44.6
480;2022-03-05 05:25:47;21.4;44.7
481;2022-03-05 05:30:47;21.4;44.7
482;2022-03-05 05:35:47;21.4;44.7
483;2022-03-05 05:40:47;21.4;44.7
484;2022-03-05 05:45:47;21.3;44.7
485;2022-03-05 05:50:47;21.3;44.8
486;2022-03-05 05:55:47;21.3;44.7
487;2022-03-05 06:00:47;21.3;44.7
488;2022-03-05 06:05:47;21.3;44.8
489;2022-03-05 06:10:47;21.3;44.8
490;2022-03-05 06:15:47;21.3;44.8
491;2022-03-05 06:20:47;21.3;44.8
492;2022-03-05 06:25:47;21.3;44.8
493;2022-03-05 06:30:47;21.3;44.8
494;2022-03-05 06:35:47;21.3;44.8
495;2022-03-05 06:40:47;21.3;44.8
496;2022-03-05 06:45:47;21.2;44.8
497;2022-03-05 06:50:47;21.2;44.8
498;2022-03-05 06:55:47;21.2;44.8
499;2022-03-05 07:00:47;21.2;44.9
500;2022-03-05 07:05:47;21.2;44.9
501;2022-03-05 07:10:47;21.2;44.9
502;2022-03-05 07:15:47;21.2;44.9
503;2022-03-05 07:20:47;21.2;44.9
504;2022-03-05 07:25:47;21.2;44.9
505;2022-03-05 07:30:47;21.2;45
506;2022-03-05 07:35:47;21.2;45
507;2022-03-05 07:40:47;21.2;45
508;2022-03-05 07:45:47;21.2;44.9
509;2022-03-05 07:50:47;21.2;45
510;2022-03-05 07:55:47;21.2;45
511;2022-03-05 08:00:47;21.1;45
512;2022-03-05 08:05:47;21.1;45.1
513;2022-03-05 08:10:47;21.1;45
514;2022-03-05 08:15:47;21.1;45.1
515;2022-03-05 08:20:47;21.1;45.1
516;2022-03-05 08:25:47;21.1;45.1
517;2022-03-05 08:30:47;21.1;45.1
518;2022-03-05 08:35:47;21.1;45
519;2022-03-05 08:40:47;21.1;45.1
520;2022-03-05 08:45:47;21.1;45.1
521;2022-03-05 08:50:47;21.1;45.1
522;2022-03-05 08:55:47;21.1;45.1
523;2022-03-05 09:00:47;21.1;45.1
524;2022-03-05 09:05:47;21.1;45.2
525;2022-03-05 09:10:47;21.1;45.2
526;2022-03-05 09:15:47;21.1;45.2
527;2022-03-05 09:20:47;21.1;45.2
528;2022-03-05 09:25:47;21.1;45.3
529;2022-03-05 09:30:47;21.1;45.2
530;2022-03-05 09:35:47;21.1;45.3
531;2022-03-05 09:40:47;21.1;45.3
532;2022-03-05 09:45:47;21.1;45.3
533;2022-03-05 09:50:47;21.1;45.4
534;2022-03-05 09:55:47;21.1;45.3
535;2022-03-05 10:00:47;21.1;45.4
536;2022-03-05 10:05:47;21.2;45.4
537;2022-03-05 10:10:47;21.2;45.4
538;2022-03-05 10:15:47;21.2;45.4
539;2022-03-05 10:20:47;21.2;45.4
540;2022-03-05 10:25:47;21.2;45.5
541;2022-03-05 10:30:47;21.3;45.5
542;2022-03-05 10:35:47;21.3;45.5
543;2022-03-05 10:40:47;21.3;45.6
544;2022-03-05 10:45:47;21.3;45.6
545;2022-03-05 10:50:47;21.4;45.6
546;2022-03-05 10:55:47;21.4;45.6
547;2022-03-05 11:00:47;21.4;45.6
548;2022-03-05 11:05:47;21.5;45.6
549;2022-03-05 11:10:47;21.5;45.6
550;2022-03-05 11:15:47;21.5;45.6
551;2022-03-05 11:20:47;21.5;45.6
552;2022-03-05 11:25:47;21.5;45.6
553;2022-03-05 11:30:47;21.5;45.6
554;2022-03-05 11:35:47;21.6;45.6
555;2022-03-05 11:40:47;21.6;45.6
556;2022-03-05 11:45:47;21.6;45.6
557;2022-03-05 11:50:47;21.7;45.6
558;2022-03-05 11:55:47;21.7;45.6
559;2022-03-05 12:00:47;21.7;45.6
560;2022-03-05 12:05:47;21.7;45.6
561;2022-03-05 12:10:47;21.8;45.6
562;2022-03-05 12:15:47;21.8;45.6
563;2022-03-05 12:20:47;21.8;45.6
564;2022-03-05 12:25:47;21.9;45.6
565;2022-03-05 12:30:47;21.9;45.7
566;2022-03-05 12:35:47;22;45.7
567;2022-03-05 12:40:47;22;45.5
568;2022-03-05 12:45:47;21.9;45.9
569;2022-03-05 12:50:47;21.9;45.9
570;2022-03-05 12:55:47;21.8;45.3
571;2022-03-05 13:00:47;21.8;44.8
572;2022-03-05 13:05:47;21.7;44.5
573;2022-03-05 13:10:47;21.7;44.3
574;2022-03-05 13:15:47;21.6;44.2
575;2022-03-05 13:20:47;21.6;44.1
576;2022-03-05 13:25:47;21.5;43.6
577;2022-03-05 13:30:47;21.4;45
578;2022-03-05 13:35:47;21.5;46.3
579;2022-03-05 13:40:47;21.3;45.2
580;2022-03-05 13:45:47;21.3;46.6
581;2022-03-05 13:50:47;21.4;48.2
582;2022-03-05 13:55:47;21.3;46.2
583;2022-03-05 14:00:47;21.2;47.6
584;2022-03-05 14:05:47;21.2;46.7
585;2022-03-05 14:10:47;21.2;47.4
586;2022-03-05 14:15:47;21.2;46.5
587;2022-03-05 14:20:47;21.2;46.7
588;2022-03-05 14:25:47;21.1;46.8
589;2022-03-05 14:30:47;21.1;46.2
590;2022-03-05 14:35:47;21;45.2
591;2022-03-05 14:40:47;21;46.6
592;2022-03-05 14:45:47;21.1;46.2
593;2022-03-05 14:50:47;21;45.2
594;2022-03-05 14:55:47;21;46.6
595;2022-03-05 15:00:47;21;45.6
596;2022-03-05 15:05:47;20.9;44.8
597;2022-03-05 15:10:47;20.9;46.7
598;2022-03-05 15:15:47;20.9;45.7
