RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger V 475;;
33;2020/09/09 13:32:00;-25,8;72.6
34;2020/09/09 13:33:00;-25,7;73.1
35;2020/09/09 13:34:00;-25,7;73.1
36;2020/09/09 13:35:00;-25,7;73.1
37;2020/09/09 13:36:00;-25,7;72.7
38;2020/09/09 13:37:00;-25,6;73.1
39;2020/09/09 13:38:00;-25,6;73.1
40;2020/09/09 13:39:00;-25,5;73.1
41;2020/09/09 13:40:00;-25,4;73.1
42;2020/09/09 13:41:00;-25,3;72.7
43;2020/09/09 13:42:00;-25,3;72.7
44;2020/09/09 13:43:00;-25,3;72.3
45;2020/09/09 13:44:00;-25,3;71.9
46;2020/09/09 13:45:00;-25,4;71.9
47;2020/09/09 13:46:00;-25,4;71.4
48;2020/09/09 13:47:00;-25,5;71.8
49;2020/09/09 13:48:00;-25,6;71.8
50;2020/09/09 13:49:00;-25,7;71.8
51;2020/09/09 13:50:00;-25,8;72.2
52;2020/09/09 13:51:00;-25,9;72.2
53;2020/09/09 13:52:00;-26;72.1
54;2020/09/09 13:53:00;-26,1;72.5
55;2020/09/09 13:54:00;-26,2;72.9
56;2020/09/09 13:55:00;-26,3;72.9
57;2020/09/09 13:56:00;-26,3;73.3
58;2020/09/09 13:57:00;-26,4;73.7
59;2020/09/09 13:58:00;-26,5;73.7
60;2020/09/09 13:59:00;-26,6;74.1
61;2020/09/09 14:00:00;-26,6;74.5
62;2020/09/09 14:01:00;-26,7;74.5
63;2020/09/09 14:02:00;-26,8;74.9
64;2020/09/09 14:03:00;-26,9;74.8
65;2020/09/09 14:04:00;-27;75.2
66;2020/09/09 14:05:00;-27,1;75.2
67;2020/09/09 14:06:00;-27,1;75.6
68;2020/09/09 14:07:00;-27,2;75.6
69;2020/09/09 14:08:00;-27,3;76
70;2020/09/09 14:09:00;-27,4;76
71;2020/09/09 14:10:00;-27,4;76
72;2020/09/09 14:11:00;-27,5;76.4
73;2020/09/09 14:12:00;-27,6;76.3
74;2020/09/09 14:13:00;-27,7;76.3
75;2020/09/09 14:14:00;-27,7;76.7
76;2020/09/09 14:15:00;-27,8;76.7
77;2020/09/09 14:16:00;-27,8;76.7
78;2020/09/09 14:17:00;-27,9;76.7
79;2020/09/09 14:18:00;-27,9;77.1
80;2020/09/09 14:19:00;-28;77.1
81;2020/09/09 14:20:00;-28;77.1
82;2020/09/09 14:21:00;-28,1;77.4
83;2020/09/09 14:22:00;-28,2;77.4
84;2020/09/09 14:23:00;-28,2;77.4
85;2020/09/09 14:24:00;-28,3;77.4
86;2020/09/09 14:25:00;-28,3;77.4
87;2020/09/09 14:26:00;-28,3;77.4
88;2020/09/09 14:27:00;-28,4;77.4
89;2020/09/09 14:28:00;-28,4;77.8
90;2020/09/09 14:29:00;-28,5;77.8
91;2020/09/09 14:30:00;-28,5;77.8
92;2020/09/09 14:31:00;-28,5;77.8
93;2020/09/09 14:32:00;-28,5;77.8
94;2020/09/09 14:33:00;-28,5;78.2
95;2020/09/09 14:34:00;-28,5;78.2
96;2020/09/09 14:35:00;-28,6;78.1
97;2020/09/09 14:36:00;-28,6;78.1
98;2020/09/09 14:37:00;-28,6;78.1
99;2020/09/09 14:38:00;-28,7;78.1
100;2020/09/09 14:39:00;-28,7;78.1
101;2020/09/09 14:40:00;-28,7;78.1
102;2020/09/09 14:41:00;-28,7;78.1
103;2020/09/09 14:42:00;-28,8;78.1
104;2020/09/09 14:43:00;-28,8;78.1
105;2020/09/09 14:44:00;-28,8;78.1
106;2020/09/09 14:45:00;-28,8;78.5
107;2020/09/09 14:46:00;-28,8;78.5
108;2020/09/09 14:47:00;-28,8;78.5
109;2020/09/09 14:48:00;-28,8;78.5
110;2020/09/09 14:49:00;-28,8;78.5
111;2020/09/09 14:50:00;-28,8;78.5
112;2020/09/09 14:51:00;-28,8;78.5
113;2020/09/09 14:52:00;-28,8;78.9
114;2020/09/09 14:53:00;-28,8;78.9
115;2020/09/09 14:54:00;-28,8;78.9
116;2020/09/09 14:55:00;-28,8;78.9
117;2020/09/09 14:56:00;-28,8;78.9
118;2020/09/09 14:57:00;-28,8;78.9
119;2020/09/09 14:58:00;-28,8;78.9
120;2020/09/09 14:59:00;-28,8;78.9
121;2020/09/09 15:00:00;-28,8;78.9
122;2020/09/09 15:01:00;-28,8;78.9
123;2020/09/09 15:02:00;-28,8;78.9
124;2020/09/09 15:03:00;-28,8;78.9
125;2020/09/09 15:04:00;-28,8;78.9
126;2020/09/09 15:05:00;-28,8;78.9
127;2020/09/09 15:06:00;-28,8;78.9
128;2020/09/09 15:07:00;-28,8;79.3
129;2020/09/09 15:08:00;-28,8;79.3
130;2020/09/09 15:09:00;-28,8;79.3
131;2020/09/09 15:10:00;-28,8;79.3
132;2020/09/09 15:11:00;-28,8;79.3
133;2020/09/09 15:12:00;-28,8;79.3
134;2020/09/09 15:13:00;-28,8;79.3
135;2020/09/09 15:14:00;-28,8;79.3
136;2020/09/09 15:15:00;-28,8;79.3
137;2020/09/09 15:16:00;-28,8;79.7
138;2020/09/09 15:17:00;-28,9;79.7
139;2020/09/09 15:18:00;-28,9;79.7
140;2020/09/09 15:19:00;-28,9;79.7
141;2020/09/09 15:20:00;-28,9;79.7
142;2020/09/09 15:21:00;-28,9;79.7
143;2020/09/09 15:22:00;-28,9;79.7
144;2020/09/09 15:23:00;-28,9;79.7
145;2020/09/09 15:24:00;-28,9;79.7
146;2020/09/09 15:25:00;-28,9;79.7
147;2020/09/09 15:26:00;-28,9;79.7
148;2020/09/09 15:27:00;-28,9;79.7
149;2020/09/09 15:28:00;-28,9;79.7
150;2020/09/09 15:29:00;-28,9;79.7
151;2020/09/09 15:30:00;-28,9;79.7
152;2020/09/09 15:31:00;-28,9;79.7
153;2020/09/09 15:32:00;-28,9;79.7
154;2020/09/09 15:33:00;-28,9;79.7
155;2020/09/09 15:34:00;-28,9;80.1
156;2020/09/09 15:35:00;-28,9;80.1
157;2020/09/09 15:36:00;-28,9;80.1
158;2020/09/09 15:37:00;-28,9;80.1
159;2020/09/09 15:38:00;-28,9;80.1
160;2020/09/09 15:39:00;-28,9;80.1
161;2020/09/09 15:40:00;-28,9;80.5
162;2020/09/09 15:41:00;-28,9;80.5
163;2020/09/09 15:42:00;-28,9;80.5
164;2020/09/09 15:43:00;-28,9;80.5
165;2020/09/09 15:44:00;-28,9;80.5
166;2020/09/09 15:45:00;-28,9;80.9
167;2020/09/09 15:46:00;-28,9;80.9
168;2020/09/09 15:47:00;-28,9;80.9
169;2020/09/09 15:48:00;-28,9;80.9
170;2020/09/09 15:49:00;-28,9;81.3
171;2020/09/09 15:50:00;-28,9;81.3
172;2020/09/09 15:51:00;-28,9;81.3
173;2020/09/09 15:52:00;-28,9;81.3
174;2020/09/09 15:53:00;-28,9;81.3
175;2020/09/09 15:54:00;-28,9;81.3
176;2020/09/09 15:55:00;-28,9;81.3
177;2020/09/09 15:56:00;-28,9;81.7
178;2020/09/09 15:57:00;-28,9;81.7
179;2020/09/09 15:58:00;-28,9;81.7
180;2020/09/09 15:59:00;-28,9;82.1
181;2020/09/09 16:00:00;-28,9;82.1
182;2020/09/09 16:01:00;-28,9;82.1
183;2020/09/09 16:02:00;-28,9;82.1
184;2020/09/09 16:03:00;-28,9;82.1
185;2020/09/09 16:04:00;-28,9;82.1
186;2020/09/09 16:05:00;-28,9;82.1
187;2020/09/09 16:06:00;-28,9;82.1
188;2020/09/09 16:07:00;-28,9;82.1
189;2020/09/09 16:08:00;-28,9;82.1
190;2020/09/09 16:09:00;-28,9;82.1
191;2020/09/09 16:10:00;-28,9;82.1
192;2020/09/09 16:11:00;-28,9;82.5
193;2020/09/09 16:12:00;-28,9;82.5
194;2020/09/09 16:13:00;-28,9;82.8
195;2020/09/09 16:14:00;-28,9;82.8
196;2020/09/09 16:15:00;-28,9;82.9
197;2020/09/09 16:16:00;-28,9;82.9
198;2020/09/09 16:17:00;-28,9;82.9
199;2020/09/09 16:18:00;-28,9;82.9
200;2020/09/09 16:19:00;-28,9;83.3
201;2020/09/09 16:20:00;-28,8;83.3
202;2020/09/09 16:21:00;-28,8;83.7
203;2020/09/09 16:22:00;-28,8;83.7
204;2020/09/09 16:23:00;-28,8;83.7
205;2020/09/09 16:24:00;-28,8;84
206;2020/09/09 16:25:00;-28,8;84
207;2020/09/09 16:26:00;-28,7;84.4
208;2020/09/09 16:27:00;-28,7;84.4
209;2020/09/09 16:28:00;-28,7;84.4
210;2020/09/09 16:29:00;-28,7;85.2
211;2020/09/09 16:30:00;-28,6;85.2
212;2020/09/09 16:31:00;-28,6;85.2
213;2020/09/09 16:32:00;-28,6;85.6
214;2020/09/09 16:33:00;-28,6;86
215;2020/09/09 16:34:00;-28,6;86
216;2020/09/09 16:35:00;-28,5;86.4
217;2020/09/09 16:36:00;-28,5;86.4
218;2020/09/09 16:37:00;-28,5;86.8
219;2020/09/09 16:38:00;-28,5;86.8
220;2020/09/09 16:39:00;-28,5;86.8
221;2020/09/09 16:40:00;-28,5;86.8
222;2020/09/09 16:41:00;-28,5;86.8
223;2020/09/09 16:42:00;-28,5;86.8
224;2020/09/09 16:43:00;-28,4;86.8
225;2020/09/09 16:44:00;-28,4;87.2
226;2020/09/09 16:45:00;-28,4;87.2
227;2020/09/09 16:46:00;-28,3;87.2
228;2020/09/09 16:47:00;-28,3;87.6
229;2020/09/09 16:48:00;-28,3;87.6
230;2020/09/09 16:49:00;-28,3;87.6
231;2020/09/09 16:50:00;-28,3;87.6
232;2020/09/09 16:51:00;-28,2;87.6
233;2020/09/09 16:52:00;-28,2;87.2
234;2020/09/09 16:53:00;-28,2;87.3
235;2020/09/09 16:54:00;-28,2;87.3
236;2020/09/09 16:55:00;-28,2;87.3
237;2020/09/09 16:56:00;-28,1;87.3
238;2020/09/09 16:57:00;-28,1;87.3
239;2020/09/09 16:58:00;-28;87.3
240;2020/09/09 16:59:00;-28;86.9
241;2020/09/09 17:00:00;-28;86.9
242;2020/09/09 17:01:00;-27,9;87
243;2020/09/09 17:02:00;-27,9;86.6
244;2020/09/09 17:03:00;-27,9;86.2
245;2020/09/09 17:04:00;-27,8;86.2
246;2020/09/09 17:05:00;-27,8;86.3
247;2020/09/09 17:06:00;-27,8;86.3
248;2020/09/09 17:07:00;-27,7;85.9
249;2020/09/09 17:08:00;-27,6;85.6
250;2020/09/09 17:09:00;-27,5;85.6
251;2020/09/09 17:10:00;-27,4;85.3
252;2020/09/09 17:11:00;-27,3;84.9
253;2020/09/09 17:12:00;-27,3;84.9
254;2020/09/09 17:13:00;-27,2;84.6
255;2020/09/09 17:14:00;-27,1;84.2
256;2020/09/09 17:15:00;-27,1;83.8
257;2020/09/09 17:16:00;-27,1;83.4
258;2020/09/09 17:17:00;-27;83.4
259;2020/09/09 17:18:00;-27;83.1
260;2020/09/09 17:19:00;-27;82.7
261;2020/09/09 17:20:00;-26,9;82.7
262;2020/09/09 17:21:00;-26,9;82.7
263;2020/09/09 17:22:00;-26,9;82.7
264;2020/09/09 17:23:00;-26,9;82.6
265;2020/09/09 17:24:00;-27;83
266;2020/09/09 17:25:00;-27;83.4
267;2020/09/09 17:26:00;-27;83.4
268;2020/09/09 17:27:00;-27,1;83.4
269;2020/09/09 17:28:00;-27,1;83.4
270;2020/09/09 17:29:00;-27,1;84.1
271;2020/09/09 17:30:00;-27,1;84.1
272;2020/09/09 17:31:00;-27,1;84.1
273;2020/09/09 17:32:00;-27,1;83.4
274;2020/09/09 17:33:00;-27,1;83.4
275;2020/09/09 17:34:00;-27,1;83.4
276;2020/09/09 17:35:00;-27;83.4
277;2020/09/09 17:36:00;-26,9;83
278;2020/09/09 17:37:00;-26,9;82.7
279;2020/09/09 17:38:00;-27;82.6
280;2020/09/09 17:39:00;-27;82.6
281;2020/09/09 17:40:00;-27;82.6
282;2020/09/09 17:41:00;-27,1;82.6
283;2020/09/09 17:42:00;-27,1;82.6
284;2020/09/09 17:43:00;-27,1;82.6
285;2020/09/09 17:44:00;-27,1;82.6
286;2020/09/09 17:45:00;-27,1;82.6
287;2020/09/09 17:46:00;-27,1;82.6
288;2020/09/09 17:47:00;-27,1;82.6
289;2020/09/09 17:48:00;-27,1;82.6
290;2020/09/09 17:49:00;-27;82.2
291;2020/09/09 17:50:00;-27;81.9
292;2020/09/09 17:51:00;-27;81.5
293;2020/09/09 17:52:00;-26,9;81.1
294;2020/09/09 17:53:00;-26,9;81.1
295;2020/09/09 17:54:00;-26,8;81.1
296;2020/09/09 17:55:00;-26,8;80.7
297;2020/09/09 17:56:00;-26,7;80.4
298;2020/09/09 17:57:00;-26,7;80
299;2020/09/09 17:58:00;-26,6;79.6
300;2020/09/09 17:59:00;-26,6;78.8
301;2020/09/09 18:00:00;-26,5;78.4
302;2020/09/09 18:01:00;-26,5;78
303;2020/09/09 18:02:00;-26,5;77.2
304;2020/09/09 18:03:00;-26,4;76.8
305;2020/09/09 18:04:00;-26,4;76.4
306;2020/09/09 18:05:00;-26,3;75.5
307;2020/09/09 18:06:00;-26,3;75.1
308;2020/09/09 18:07:00;-26,3;74.7
309;2020/09/09 18:08:00;-26,2;73.9
310;2020/09/09 18:09:00;-26,2;73.5
311;2020/09/09 18:10:00;-26,2;73
312;2020/09/09 18:11:00;-26,1;73
313;2020/09/09 18:12:00;-26,1;72.6
314;2020/09/09 18:13:00;-26,1;72.2
315;2020/09/09 18:14:00;-26,1;71.7
316;2020/09/09 18:15:00;-26;71.3
317;2020/09/09 18:16:00;-26;71.3
318;2020/09/09 18:17:00;-26;70.9
319;2020/09/09 18:18:00;-26;70.9
320;2020/09/09 18:19:00;-26,1;70.4
321;2020/09/09 18:20:00;-26,1;70.4
322;2020/09/09 18:21:00;-26,1;70
323;2020/09/09 18:22:00;-26,1;70
324;2020/09/09 18:23:00;-26,1;70
325;2020/09/09 18:24:00;-26,1;69.5
326;2020/09/09 18:25:00;-26,1;69.5
327;2020/09/09 18:26:00;-26,1;69.5
328;2020/09/09 18:27:00;-26,1;69.5
329;2020/09/09 18:28:00;-26,1;69.1
330;2020/09/09 18:29:00;-26,2;69.1
331;2020/09/09 18:30:00;-26,2;69.1
332;2020/09/09 18:31:00;-26,2;69.1
333;2020/09/09 18:32:00;-26,2;69.1
334;2020/09/09 18:33:00;-26,2;69
335;2020/09/09 18:34:00;-26,3;69
336;2020/09/09 18:35:00;-26,3;68.6
337;2020/09/09 18:36:00;-26,3;68.6
338;2020/09/09 18:37:00;-26,4;68.6
339;2020/09/09 18:38:00;-26,4;68.6
340;2020/09/09 18:39:00;-26,5;68.1
341;2020/09/09 18:40:00;-26,5;68.1
342;2020/09/09 18:41:00;-26,5;67.6
343;2020/09/09 18:42:00;-26,6;67.2
344;2020/09/09 18:43:00;-26,7;67.1
345;2020/09/09 18:44:00;-26,7;67.1
346;2020/09/09 18:45:00;-26,8;67.5
347;2020/09/09 18:46:00;-26,9;67.5
348;2020/09/09 18:47:00;-26,9;68
349;2020/09/09 18:48:00;-27;67.9
350;2020/09/09 18:49:00;-27,1;68.4
351;2020/09/09 18:50:00;-27,1;68.3
352;2020/09/09 18:51:00;-27,2;68.8
353;2020/09/09 18:52:00;-27,3;68.7
354;2020/09/09 18:53:00;-27,4;69.1
355;2020/09/09 18:54:00;-27,5;69.6
356;2020/09/09 18:55:00;-27,6;70
357;2020/09/09 18:56:00;-27,7;70
358;2020/09/09 18:57:00;-27,8;70.4
359;2020/09/09 18:58:00;-27,8;70.3
360;2020/09/09 18:59:00;-27,9;70.8
361;2020/09/09 19:00:00;-28;70.7
362;2020/09/09 19:01:00;-28,1;71.2
363;2020/09/09 19:02:00;-28,2;71.1
364;2020/09/09 19:03:00;-28,2;71.6
365;2020/09/09 19:04:00;-28,3;71.5
366;2020/09/09 19:05:00;-28,4;71.5
367;2020/09/09 19:06:00;-28,5;71.9
368;2020/09/09 19:07:00;-28,5;71.9
369;2020/09/09 19:08:00;-28,6;71.9
370;2020/09/09 19:09:00;-28,6;71.9
371;2020/09/09 19:10:00;-28,7;72.3
372;2020/09/09 19:11:00;-28,8;72.3
373;2020/09/09 19:12:00;-28,8;72.3
374;2020/09/09 19:13:00;-28,9;72.3
375;2020/09/09 19:14:00;-28,9;72.3
376;2020/09/09 19:15:00;-29;72.7
377;2020/09/09 19:16:00;-29;72.7
378;2020/09/09 19:17:00;-29,1;72.6
379;2020/09/09 19:18:00;-29,2;72.6
380;2020/09/09 19:19:00;-29,2;72.6
381;2020/09/09 19:20:00;-29,2;73
382;2020/09/09 19:21:00;-29,3;73
383;2020/09/09 19:22:00;-29,3;73
384;2020/09/09 19:23:00;-29,3;73
385;2020/09/09 19:24:00;-29,3;73
386;2020/09/09 19:25:00;-29,4;73
387;2020/09/09 19:26:00;-29,4;73
388;2020/09/09 19:27:00;-29,5;73
389;2020/09/09 19:28:00;-29,5;73.4
390;2020/09/09 19:29:00;-29,6;73.4
391;2020/09/09 19:30:00;-29,6;73
392;2020/09/09 19:31:00;-29,6;73.4
393;2020/09/09 19:32:00;-29,7;73.4
394;2020/09/09 19:33:00;-29,7;73.4
395;2020/09/09 19:34:00;-29,8;73.4
396;2020/09/09 19:35:00;-29,8;73.3
397;2020/09/09 19:36:00;-29,8;73.3
398;2020/09/09 19:37:00;-29,9;73.3
399;2020/09/09 19:38:00;-29,9;73.3
400;2020/09/09 19:39:00;-29,9;73.3
401;2020/09/09 19:40:00;-30;73.3
402;2020/09/09 19:41:00;-30;73.3
403;2020/09/09 19:42:00;-30,1;73.3
404;2020/09/09 19:43:00;-30,1;73.7
405;2020/09/09 19:44:00;-30,1;73.7
406;2020/09/09 19:45:00;-30,1;73.7
407;2020/09/09 19:46:00;-30,1;73.7
408;2020/09/09 19:47:00;-30,2;73.7
409;2020/09/09 19:48:00;-30,2;73.7
410;2020/09/09 19:49:00;-30,3;73.7
411;2020/09/09 19:50:00;-30,3;73.6
412;2020/09/09 19:51:00;-30,3;73.6
413;2020/09/09 19:52:00;-30,3;73.6
414;2020/09/09 19:53:00;-30,4;73.6
415;2020/09/09 19:54:00;-30,4;74
416;2020/09/09 19:55:00;-30,4;74
417;2020/09/09 19:56:00;-30,4;74
418;2020/09/09 19:57:00;-30,4;74
419;2020/09/09 19:58:00;-30,4;74
420;2020/09/09 19:59:00;-30,4;74.4
421;2020/09/09 20:00:00;-30,5;74.4
422;2020/09/09 20:01:00;-30,5;74.4
423;2020/09/09 20:02:00;-30,5;74.4
424;2020/09/09 20:03:00;-30,5;74.4
425;2020/09/09 20:04:00;-30,6;74.8
426;2020/09/09 20:05:00;-30,6;74.8
427;2020/09/09 20:06:00;-30,6;74.8
428;2020/09/09 20:07:00;-30,6;74.8
429;2020/09/09 20:08:00;-30,7;74.8
430;2020/09/09 20:09:00;-30,7;74.8
431;2020/09/09 20:10:00;-30,7;74.8
432;2020/09/09 20:11:00;-30,8;74.8
433;2020/09/09 20:12:00;-30,8;74.8
434;2020/09/09 20:13:00;-30,9;74.8
435;2020/09/09 20:14:00;-30,9;74.8
436;2020/09/09 20:15:00;-30,9;74.8
437;2020/09/09 20:16:00;-31;74.8
438;2020/09/09 20:17:00;-31;74.7
439;2020/09/09 20:18:00;-31;74.3
440;2020/09/09 20:19:00;-31,1;74.3
441;2020/09/09 20:20:00;-31,1;74.3
442;2020/09/09 20:21:00;-31,2;74.3
443;2020/09/09 20:22:00;-31,3;74.3
444;2020/09/09 20:23:00;-31,3;74.3
445;2020/09/09 20:24:00;-31,4;74.2
446;2020/09/09 20:25:00;-31,4;74.2
447;2020/09/09 20:26:00;-31,5;74.2
448;2020/09/09 20:27:00;-31,6;74.2
449;2020/09/09 20:28:00;-31,6;74.2
450;2020/09/09 20:29:00;-31,6;74.2
451;2020/09/09 20:30:00;-31,7;74.2
452;2020/09/09 20:31:00;-31,7;74.2
453;2020/09/09 20:32:00;-31,7;74.2
454;2020/09/09 20:33:00;-31,8;74.2
455;2020/09/09 20:34:00;-31,8;74.2
456;2020/09/09 20:35:00;-31,8;74.2
457;2020/09/09 20:36:00;-31,9;74.1
458;2020/09/09 20:37:00;-31,9;74.1
459;2020/09/09 20:38:00;-32;74.1
460;2020/09/09 20:39:00;-32;74.1
461;2020/09/09 20:40:00;-32;74.1
462;2020/09/09 20:41:00;-32;74.1
463;2020/09/09 20:42:00;-32;74.1
464;2020/09/09 20:43:00;-32;74.1
465;2020/09/09 20:44:00;-32,1;74.1
466;2020/09/09 20:45:00;-32,1;74.5
467;2020/09/09 20:46:00;-32,1;74.5
468;2020/09/09 20:47:00;-32,1;74.5
469;2020/09/09 20:48:00;-32,2;74.5
470;2020/09/09 20:49:00;-32,2;74.5
471;2020/09/09 20:50:00;-32,2;74.9
472;2020/09/09 20:51:00;-32,2;74.9
473;2020/09/09 20:52:00;-32,2;74.9
474;2020/09/09 20:53:00;-32,2;74.9
475;2020/09/09 20:54:00;-32,2;74.9
476;2020/09/09 20:55:00;-32,2;74.9
477;2020/09/09 20:56:00;-32,2;75.3
478;2020/09/09 20:57:00;-32,2;75.3
479;2020/09/09 20:58:00;-32,2;75.3
480;2020/09/09 20:59:00;-32,2;75.3
481;2020/09/09 21:00:00;-32,2;75.3
482;2020/09/09 21:01:00;-32,2;75.3
483;2020/09/09 21:02:00;-32,3;75.3
484;2020/09/09 21:03:00;-32,3;75.3
485;2020/09/09 21:04:00;-32,3;75.3
486;2020/09/09 21:05:00;-32,3;75.3
487;2020/09/09 21:06:00;-32,3;75.3
488;2020/09/09 21:07:00;-32,4;75.3
489;2020/09/09 21:08:00;-32,4;74.9
490;2020/09/09 21:09:00;-32,4;74.9
491;2020/09/09 21:10:00;-32,5;74.8
492;2020/09/09 21:11:00;-32,5;74.8
493;2020/09/09 21:12:00;-32,5;75.2
494;2020/09/09 21:13:00;-32,5;75.3
495;2020/09/09 21:14:00;-32,5;75.2
496;2020/09/09 21:15:00;-32,5;75.3
497;2020/09/09 21:16:00;-32,5;75.3
498;2020/09/09 21:17:00;-32,5;75.3
499;2020/09/09 21:18:00;-32,6;75.3
500;2020/09/09 21:19:00;-32,6;75.3
501;2020/09/09 21:20:00;-32,6;75.3
502;2020/09/09 21:21:00;-32,6;75.3
503;2020/09/09 21:22:00;-32,6;75.3
504;2020/09/09 21:23:00;-32,6;75.3
505;2020/09/09 21:24:00;-32,6;75.3
506;2020/09/09 21:25:00;-32,6;75.3
507;2020/09/09 21:26:00;-32,6;75.3
508;2020/09/09 21:27:00;-32,6;75.7
509;2020/09/09 21:28:00;-32,6;75.7
510;2020/09/09 21:29:00;-32,5;75.7
511;2020/09/09 21:30:00;-32,5;76.1
512;2020/09/09 21:31:00;-32,5;76.1
513;2020/09/09 21:32:00;-32,4;76.5
514;2020/09/09 21:33:00;-32,4;76.5
515;2020/09/09 21:34:00;-32,3;76.5
516;2020/09/09 21:35:00;-32,3;76.5
517;2020/09/09 21:36:00;-32,3;76.5
518;2020/09/09 21:37:00;-32,2;76.5
519;2020/09/09 21:38:00;-32,2;76.6
520;2020/09/09 21:39:00;-32,1;76.6
521;2020/09/09 21:40:00;-32;76.6
522;2020/09/09 21:41:00;-32;76.2
523;2020/09/09 21:42:00;-32;76.2
524;2020/09/09 21:43:00;-32;76.2
525;2020/09/09 21:44:00;-31,9;76.2
526;2020/09/09 21:45:00;-31,9;75.8
527;2020/09/09 21:46:00;-31,8;75.9
528;2020/09/09 21:47:00;-31,7;75.9
529;2020/09/09 21:48:00;-31,7;75.9
530;2020/09/09 21:49:00;-31,6;75.5
531;2020/09/09 21:50:00;-31,5;75.5
532;2020/09/09 21:51:00;-31,4;75.5
533;2020/09/09 21:52:00;-31,3;75.2
534;2020/09/09 21:53:00;-31,2;75.2
535;2020/09/09 21:54:00;-31,1;74.8
536;2020/09/09 21:55:00;-31;74.8
537;2020/09/09 21:56:00;-30,9;74.4
538;2020/09/09 21:57:00;-30,8;74.5
539;2020/09/09 21:58:00;-30,7;74.5
540;2020/09/09 21:59:00;-30,6;74.1
541;2020/09/09 22:00:00;-30,5;74.1
542;2020/09/09 22:01:00;-30,3;73.7
543;2020/09/09 22:02:00;-30,2;73.4
544;2020/09/09 22:03:00;-30,1;73
545;2020/09/09 22:04:00;-30,1;72.6
546;2020/09/09 22:05:00;-29,9;72.6
547;2020/09/09 22:06:00;-29,8;72.6
548;2020/09/09 22:07:00;-29,6;72.2
549;2020/09/09 22:08:00;-29,5;71.9
550;2020/09/09 22:09:00;-29,4;71.5
551;2020/09/09 22:10:00;-29,3;71.5
552;2020/09/09 22:11:00;-29,2;71.5
553;2020/09/09 22:12:00;-29,1;71.1
554;2020/09/09 22:13:00;-29;70.7
555;2020/09/09 22:14:00;-29;70.3
556;2020/09/09 22:15:00;-28,9;70.3
557;2020/09/09 22:16:00;-28,8;69.9
558;2020/09/09 22:17:00;-28,7;69.5
559;2020/09/09 22:18:00;-28,7;69.5
560;2020/09/09 22:19:00;-28,6;69.1
561;2020/09/09 22:20:00;-28,5;68.6
562;2020/09/09 22:21:00;-28,5;68.7
563;2020/09/09 22:22:00;-28,4;67.8
564;2020/09/09 22:23:00;-28,2;67.4
565;2020/09/09 22:24:00;-28,1;66.5
566;2020/09/09 22:25:00;-28;66.1
567;2020/09/09 22:26:00;-27,9;65.7
568;2020/09/09 22:27:00;-27,8;64.8
569;2020/09/09 22:28:00;-27,8;64.3
570;2020/09/09 22:29:00;-27,7;63.9
571;2020/09/09 22:30:00;-27,6;63.5
572;2020/09/09 22:31:00;-27,5;62.6
