RC-4HC Temperature+Humidity Data Logger;;;
User Information;00V299;;
120;2022-05-16 19:46:40;16;54,8
121;2022-05-16 19:51:40;15,9;54,8
122;2022-05-16 19:56:40;15,9;55,2
123;2022-05-16 20:01:40;15,8;55,2
124;2022-05-16 20:06:40;15,8;55,2
125;2022-05-16 20:11:40;15,7;55,2
126;2022-05-16 20:16:40;15,7;55,2
127;2022-05-16 20:21:40;15,7;55,2
128;2022-05-16 20:26:40;15,6;55,2
129;2022-05-16 20:31:40;15,6;55,2
130;2022-05-16 20:36:40;15,5;55,7
131;2022-05-16 20:41:40;15,5;55,7
132;2022-05-16 20:46:40;15,5;55,7
133;2022-05-16 20:51:40;15,4;55,7
134;2022-05-16 20:56:40;15,4;56,1
135;2022-05-16 21:01:40;15,4;56,1
136;2022-05-16 21:06:40;15,4;56,1
137;2022-05-16 21:11:40;15,4;56,1
138;2022-05-16 21:16:40;15,3;56,1
139;2022-05-16 21:21:40;15,3;56,1
140;2022-05-16 21:26:40;15,2;56,1
141;2022-05-16 21:31:40;15,2;56,1
142;2022-05-16 21:36:40;15,1;56,6
143;2022-05-16 21:41:40;15,1;56,6
144;2022-05-16 21:46:40;15,1;56,6
145;2022-05-16 21:51:40;15;56,6
146;2022-05-16 21:56:40;15;56,5
147;2022-05-16 22:01:40;15;56,5
148;2022-05-16 22:06:40;14,9;56,5
149;2022-05-16 22:11:40;14,9;57
150;2022-05-16 22:16:40;14,8;57
151;2022-05-16 22:21:40;14,8;57
152;2022-05-16 22:26:40;14,7;57
153;2022-05-16 22:31:40;14,7;57
154;2022-05-16 22:36:40;14,7;57
155;2022-05-16 22:41:40;14,7;57
156;2022-05-16 22:46:40;14,7;57
157;2022-05-16 22:51:40;14,6;57
158;2022-05-16 22:56:40;14,6;57
159;2022-05-16 23:01:40;14,6;57
160;2022-05-16 23:06:40;14,6;57
161;2022-05-16 23:11:40;14,5;57
162;2022-05-16 23:16:40;14,5;57
163;2022-05-16 23:21:40;14,4;57
164;2022-05-16 23:26:40;14,4;56,9
165;2022-05-16 23:31:40;14,4;56,9
166;2022-05-16 23:36:40;14,4;56,9
167;2022-05-16 23:41:40;14,3;56,9
168;2022-05-16 23:46:40;14,3;56,9
169;2022-05-16 23:51:40;14,3;56,9
170;2022-05-16 23:56:40;14,2;56,9
171;2022-05-17 00:01:40;14,2;57,4
172;2022-05-17 00:06:40;14,2;56,9
173;2022-05-17 00:11:40;14,2;57,4
174;2022-05-17 00:16:40;14,1;57,4
175;2022-05-17 00:21:40;14,1;57,4
176;2022-05-17 00:26:40;14,1;57,4
177;2022-05-17 00:31:40;14,1;57,4
178;2022-05-17 00:36:40;14;57,4
179;2022-05-17 00:41:40;14;57,4
180;2022-05-17 00:46:40;14;57,4
181;2022-05-17 00:51:40;14;57,4
182;2022-05-17 00:56:40;14;57,4
183;2022-05-17 01:01:40;14;57,4
184;2022-05-17 01:06:40;14;57,4
185;2022-05-17 01:11:40;13,9;57,4
186;2022-05-17 01:16:40;13,9;57,3
187;2022-05-17 01:21:40;13,9;57,3
188;2022-05-17 01:26:40;13,8;57,3
189;2022-05-17 01:31:40;13,8;57,3
190;2022-05-17 01:36:40;13,8;57,3
191;2022-05-17 01:41:40;13,7;57,3
192;2022-05-17 01:46:40;13,7;57,3
193;2022-05-17 01:51:40;13,7;57,3
194;2022-05-17 01:56:40;13,6;57,3
195;2022-05-17 02:01:40;13,6;57,3
196;2022-05-17 02:06:40;13,6;57,3
197;2022-05-17 02:11:40;13,5;57,3
198;2022-05-17 02:16:40;13,5;57,3
199;2022-05-17 02:21:40;13,5;57,3
200;2022-05-17 02:26:40;13,5;56,8
201;2022-05-17 02:31:40;13,5;56,8
202;2022-05-17 02:36:40;13,4;56,8
203;2022-05-17 02:41:40;13,4;56,8
204;2022-05-17 02:46:40;13,4;56,8
205;2022-05-17 02:51:40;13,4;56,8
206;2022-05-17 02:56:40;13,4;56,8
207;2022-05-17 03:01:40;13,4;56,3
208;2022-05-17 03:06:40;13,3;56,3
209;2022-05-17 03:11:40;13,3;56,8
210;2022-05-17 03:16:40;13,3;56,3
211;2022-05-17 03:21:40;13,2;56,8
212;2022-05-17 03:26:40;13,2;56,3
213;2022-05-17 03:31:40;13,2;56,3
214;2022-05-17 03:36:40;13,1;56,3
215;2022-05-17 03:41:40;13,1;56,3
216;2022-05-17 03:46:40;13,1;56,3
217;2022-05-17 03:51:40;13,1;56,3
218;2022-05-17 03:56:40;13;56,3
219;2022-05-17 04:01:40;13;56,3
220;2022-05-17 04:06:40;13;56,3
221;2022-05-17 04:11:40;13;56,2
222;2022-05-17 04:16:40;12,9;56,2
223;2022-05-17 04:21:40;12,9;56,2
224;2022-05-17 04:26:40;12,9;56,2
225;2022-05-17 04:31:40;12,9;56,2
226;2022-05-17 04:36:40;12,9;55,8
227;2022-05-17 04:41:40;12,8;55,8
228;2022-05-17 04:46:40;12,8;55,8
229;2022-05-17 04:51:40;12,8;55,8
230;2022-05-17 04:56:40;12,8;55,7
231;2022-05-17 05:01:40;12,7;55,7
232;2022-05-17 05:06:40;12,7;55,7
233;2022-05-17 05:11:40;12,7;55,7
234;2022-05-17 05:16:40;12,7;55,3
235;2022-05-17 05:21:40;12,7;55,2
236;2022-05-17 05:26:40;12,7;55,7
237;2022-05-17 05:31:40;12,7;55,7
238;2022-05-17 05:36:40;12,7;55,7
239;2022-05-17 05:41:40;12,7;55,7
240;2022-05-17 05:46:40;12,7;55,2
241;2022-05-17 05:51:40;12,7;55,2
242;2022-05-17 05:56:40;12,6;55,2
243;2022-05-17 06:01:40;12,6;55,2
244;2022-05-17 06:06:40;12,6;55,2
245;2022-05-17 06:11:40;12,6;55,2
246;2022-05-17 06:16:40;12,6;55,7
247;2022-05-17 06:21:40;12,6;55,7
248;2022-05-17 06:26:40;12,6;55,7
249;2022-05-17 06:31:40;12,5;55,2
250;2022-05-17 06:36:40;12,5;55,2
251;2022-05-17 06:41:40;12,5;55,2
252;2022-05-17 06:46:40;12,5;55,2
253;2022-05-17 06:51:40;12,4;55,7
254;2022-05-17 06:56:40;12,4;55,7
255;2022-05-17 07:01:40;12,4;55,2
256;2022-05-17 07:06:40;12,4;55,7
257;2022-05-17 07:11:40;12,4;55,2
258;2022-05-17 07:16:40;12,4;55,2
259;2022-05-17 07:21:40;12,3;55,7
260;2022-05-17 07:26:40;12,3;55,2
261;2022-05-17 07:31:40;12,3;55,7
262;2022-05-17 07:36:40;12,3;55,7
263;2022-05-17 07:41:40;12,3;55,2
264;2022-05-17 07:46:40;12,3;55,7
265;2022-05-17 07:51:40;12,3;55,7
266;2022-05-17 07:56:40;12,3;55,7
267;2022-05-17 08:01:40;12,3;55,7
268;2022-05-17 08:06:40;12,3;55,7
269;2022-05-17 08:11:40;12,3;55,7
270;2022-05-17 08:16:40;12,3;55,7
271;2022-05-17 08:21:40;12,3;55,7
272;2022-05-17 08:26:40;12,3;55,7
273;2022-05-17 08:31:40;12,3;55,7
274;2022-05-17 08:36:40;12,4;55,7
275;2022-05-17 08:41:40;12,4;55,7
276;2022-05-17 08:46:40;12,4;55,7
277;2022-05-17 08:51:40;12,5;55,7
278;2022-05-17 08:56:40;12,5;55,7
279;2022-05-17 09:01:40;12,6;55,7
280;2022-05-17 09:06:40;12,6;55,7
281;2022-05-17 09:11:40;12,7;55,7
282;2022-05-17 09:16:40;12,7;55,7
283;2022-05-17 09:21:40;12,7;55,3
284;2022-05-17 09:26:40;12,8;55,3
285;2022-05-17 09:31:40;12,9;55,3
286;2022-05-17 09:36:40;13;55,3
287;2022-05-17 09:41:40;13;55,3
288;2022-05-17 09:46:40;13,1;55,3
289;2022-05-17 09:51:40;13,2;55,3
290;2022-05-17 09:56:40;13,3;55,3
291;2022-05-17 10:01:40;13,4;55,3
292;2022-05-17 10:06:40;13,4;55,4
293;2022-05-17 10:11:40;13,5;55,4
294;2022-05-17 10:16:40;13,5;55,4
295;2022-05-17 10:21:40;13,6;55,4
296;2022-05-17 10:26:40;13,7;55,4
297;2022-05-17 10:31:40;13,8;54,9
298;2022-05-17 10:36:40;13,9;54,9
299;2022-05-17 10:41:40;13,9;54,9
300;2022-05-17 10:46:40;14;55
301;2022-05-17 10:51:40;14,1;55
302;2022-05-17 10:56:40;14,2;55
303;2022-05-17 11:01:40;14,3;55
304;2022-05-17 11:06:40;14,4;55
305;2022-05-17 11:11:40;14,5;55
306;2022-05-17 11:16:40;14,6;55
307;2022-05-17 11:21:40;14,6;55
308;2022-05-17 11:26:40;14,7;55,1
309;2022-05-17 11:31:40;14,7;55,1
310;2022-05-17 11:36:40;14,8;55,1
311;2022-05-17 11:41:40;14,9;55,1
312;2022-05-17 11:46:40;15;55,1
313;2022-05-17 11:51:40;15,1;55,1
314;2022-05-17 11:56:40;15,1;55,1
315;2022-05-17 12:01:40;15,2;55,1
316;2022-05-17 12:06:40;15,3;55,1
317;2022-05-17 12:11:40;15,4;55,2
318;2022-05-17 12:16:40;15,4;55,2
319;2022-05-17 12:21:40;15,5;55,7
320;2022-05-17 12:26:40;15,6;55,7
321;2022-05-17 12:31:40;15,6;55,7
322;2022-05-17 12:36:40;15,7;55,2
323;2022-05-17 12:41:40;15,8;55,2
324;2022-05-17 12:46:40;15,9;55,2
325;2022-05-17 12:51:40;16;55,2
326;2022-05-17 12:56:40;16;55,2
327;2022-05-17 13:01:40;16,1;55,3
328;2022-05-17 13:06:40;16,2;55,3
329;2022-05-17 13:11:40;16,3;54,8
330;2022-05-17 13:16:40;16,4;54,8
331;2022-05-17 13:21:40;16,6;54,3
332;2022-05-17 13:26:40;16,7;54,4
333;2022-05-17 13:31:40;16,7;54,4
334;2022-05-17 13:36:40;16,8;53,9
335;2022-05-17 13:41:40;16,8;53,9
336;2022-05-17 13:46:40;16,9;53,9
337;2022-05-17 13:51:40;17;53,9
338;2022-05-17 13:56:40;17,1;53,9
339;2022-05-17 14:01:40;17,1;53,4
340;2022-05-17 14:06:40;17,2;53,5
341;2022-05-17 14:11:40;17,2;53,5
342;2022-05-17 14:16:40;17,3;53,5
343;2022-05-17 14:21:40;17,3;53,5
344;2022-05-17 14:26:40;17,4;53,5
345;2022-05-17 14:31:40;17,4;53,5
346;2022-05-17 14:36:40;17,4;53
347;2022-05-17 14:41:40;17,5;53
348;2022-05-17 14:46:40;17,5;53,5
349;2022-05-17 14:51:40;17,6;53
350;2022-05-17 14:56:40;17,6;53,5
351;2022-05-17 15:01:40;17,7;53
352;2022-05-17 15:06:40;17,7;53
353;2022-05-17 15:11:40;17,8;53
354;2022-05-17 15:16:40;17,8;53
355;2022-05-17 15:21:40;17,8;53
356;2022-05-17 15:26:40;17,9;53,1
357;2022-05-17 15:31:40;17,9;53,1
358;2022-05-17 15:36:40;18;53,1
359;2022-05-17 15:41:40;18;53,1
360;2022-05-17 15:46:40;18;53,1
361;2022-05-17 15:51:40;18;53,1
362;2022-05-17 15:56:40;18;53,1
363;2022-05-17 16:01:40;18;53,1
364;2022-05-17 16:06:40;18;53,1
365;2022-05-17 16:11:40;18;53,1
366;2022-05-17 16:16:40;18;53,1
367;2022-05-17 16:21:40;18;53,1
368;2022-05-17 16:26:40;18;53,1
369;2022-05-17 16:31:40;18;53,1
370;2022-05-17 16:36:40;18;53,1
371;2022-05-17 16:41:40;18;53,6
372;2022-05-17 16:46:40;18;53,6
373;2022-05-17 16:51:40;18;53,6
374;2022-05-17 16:56:40;18;53,6
375;2022-05-17 17:01:40;17,9;53,6
376;2022-05-17 17:06:40;17,9;53,5
377;2022-05-17 17:11:40;17,9;53,5
378;2022-05-17 17:16:40;17,8;53,5
379;2022-05-17 17:21:40;17,8;53,5
380;2022-05-17 17:26:40;17,7;53,5
381;2022-05-17 17:31:40;17,7;53,5
382;2022-05-17 17:36:40;17,6;53,5
383;2022-05-17 17:41:40;17,5;53,5
384;2022-05-17 17:46:40;17,4;53,5
385;2022-05-17 17:51:40;17,4;53,5
386;2022-05-17 17:56:40;17,3;53,5
387;2022-05-17 18:01:40;17,2;53,5
388;2022-05-17 18:06:40;17,1;53,4
389;2022-05-17 18:11:40;17;53,9
390;2022-05-17 18:16:40;16,9;53,9
391;2022-05-17 18:21:40;16,8;53,9
392;2022-05-17 18:26:40;16,7;54,4
393;2022-05-17 18:31:40;16,7;54,4
394;2022-05-17 18:36:40;16,6;54,3
395;2022-05-17 18:41:40;16,5;54,8
396;2022-05-17 18:46:40;16,4;54,8
397;2022-05-17 18:51:40;16,3;54,8
398;2022-05-17 18:56:40;16,2;55,3
399;2022-05-17 19:01:40;16,1;55,3
400;2022-05-17 19:06:40;16,1;55,3
401;2022-05-17 19:11:40;16;55,2
402;2022-05-17 19:16:40;16;55,2
403;2022-05-17 19:21:40;15,9;55,7
404;2022-05-17 19:26:40;15,8;55,7
405;2022-05-17 19:31:40;15,7;55,7
406;2022-05-17 19:36:40;15,6;56,2
407;2022-05-17 19:41:40;15,6;56,2
408;2022-05-17 19:46:40;15,5;56,1
409;2022-05-17 19:51:40;15,4;56,1
410;2022-05-17 19:56:40;15,4;56,1
411;2022-05-17 20:01:40;15,4;56,6
412;2022-05-17 20:06:40;15,3;56,6
413;2022-05-17 20:11:40;15,2;56,6
414;2022-05-17 20:16:40;15,2;56,6
415;2022-05-17 20:21:40;15,1;57
416;2022-05-17 20:26:40;15;57
417;2022-05-17 20:31:40;15;57
418;2022-05-17 20:36:40;14,9;57
419;2022-05-17 20:41:40;14,8;57
420;2022-05-17 20:46:40;14,8;57
421;2022-05-17 20:51:40;14,7;57
422;2022-05-17 20:56:40;14,7;57
423;2022-05-17 21:01:40;14,7;57
424;2022-05-17 21:06:40;14,6;57
425;2022-05-17 21:11:40;14,6;57,4
426;2022-05-17 21:16:40;14,5;57,4
427;2022-05-17 21:21:40;14,5;57,4
428;2022-05-17 21:26:40;14,4;57,4
429;2022-05-17 21:31:40;14,4;57,4
430;2022-05-17 21:36:40;14,4;57,4
431;2022-05-17 21:41:40;14,3;57,9
432;2022-05-17 21:46:40;14,3;57,9
433;2022-05-17 21:51:40;14,2;57,9
434;2022-05-17 21:56:40;14,2;57,9
435;2022-05-17 22:01:40;14,1;57,4
436;2022-05-17 22:06:40;14,1;57,9
437;2022-05-17 22:11:40;14,1;57,9
438;2022-05-17 22:16:40;14;57,8
439;2022-05-17 22:21:40;14;57,8
440;2022-05-17 22:26:40;14;57,8
441;2022-05-17 22:31:40;14;57,8
442;2022-05-17 22:36:40;14;57,8
443;2022-05-17 22:41:40;13,9;57,8
444;2022-05-17 22:46:40;13,9;57,8
445;2022-05-17 22:51:40;13,9;57,8
446;2022-05-17 22:56:40;13,8;57,8
447;2022-05-17 23:01:40;13,8;57,8
448;2022-05-17 23:06:40;13,8;57,8
449;2022-05-17 23:11:40;13,8;57,8
450;2022-05-17 23:16:40;13,7;57,8
451;2022-05-17 23:21:40;13,7;57,8
452;2022-05-17 23:26:40;13,7;57,8
453;2022-05-17 23:31:40;13,7;57,8
454;2022-05-17 23:36:40;13,6;57,8
455;2022-05-17 23:41:40;13,6;57,8
456;2022-05-17 23:46:40;13,6;57,8
457;2022-05-17 23:51:40;13,6;57,8
458;2022-05-17 23:56:40;13,6;57,8
459;2022-05-18 00:01:40;13,5;57,8
460;2022-05-18 00:06:40;13,5;57,8
461;2022-05-18 00:11:40;13,5;57,8
462;2022-05-18 00:16:40;13,5;57,8
463;2022-05-18 00:21:40;13,5;57,8
464;2022-05-18 00:26:40;13,4;57,8
465;2022-05-18 00:31:40;13,4;57,8
466;2022-05-18 00:36:40;13,4;57,8
467;2022-05-18 00:41:40;13,4;57,8
468;2022-05-18 00:46:40;13,4;57,7
469;2022-05-18 00:51:40;13,4;57,7
470;2022-05-18 00:56:40;13,4;57,7
471;2022-05-18 01:01:40;13,4;57,7
472;2022-05-18 01:06:40;13,3;57,7
473;2022-05-18 01:11:40;13,3;57,7
474;2022-05-18 01:16:40;13,3;57,7
475;2022-05-18 01:21:40;13,3;57,7
476;2022-05-18 01:26:40;13,3;57,7
477;2022-05-18 01:31:40;13,2;57,7
478;2022-05-18 01:36:40;13,2;57,7
479;2022-05-18 01:41:40;13,2;57,7
480;2022-05-18 01:46:40;13,2;57,7
481;2022-05-18 01:51:40;13,1;57,7
482;2022-05-18 01:56:40;13,1;57,7
483;2022-05-18 02:01:40;13,1;57,7
484;2022-05-18 02:06:40;13,1;57,7
485;2022-05-18 02:11:40;13,1;57,2
486;2022-05-18 02:16:40;13;57,2
487;2022-05-18 02:21:40;13;57,2
488;2022-05-18 02:26:40;13;57,2
489;2022-05-18 02:31:40;12,9;57,2
490;2022-05-18 02:36:40;12,9;57,2
491;2022-05-18 02:41:40;12,9;57,2
492;2022-05-18 02:46:40;12,9;57,2
493;2022-05-18 02:51:40;12,9;57,2
494;2022-05-18 02:56:40;12,9;57,2
495;2022-05-18 03:01:40;12,8;57,2
496;2022-05-18 03:06:40;12,8;57,2
497;2022-05-18 03:11:40;12,8;57,2
498;2022-05-18 03:16:40;12,8;56,7
499;2022-05-18 03:21:40;12,8;57,2
500;2022-05-18 03:26:40;12,7;56,7
501;2022-05-18 03:31:40;12,7;56,7
502;2022-05-18 03:36:40;12,7;56,7
503;2022-05-18 03:41:40;12,7;56,7
504;2022-05-18 03:46:40;12,7;56,7
505;2022-05-18 03:51:40;12,7;56,7
506;2022-05-18 03:56:40;12,7;56,7
507;2022-05-18 04:01:40;12,7;56,7
508;2022-05-18 04:06:40;12,7;56,7
509;2022-05-18 04:11:40;12,7;56,7
510;2022-05-18 04:16:40;12,6;56,7
511;2022-05-18 04:21:40;12,6;56,7
512;2022-05-18 04:26:40;12,6;56,7
513;2022-05-18 04:31:40;12,6;56,2
514;2022-05-18 04:36:40;12,6;56,7
515;2022-05-18 04:41:40;12,5;56,2
516;2022-05-18 04:46:40;12,5;56,2
517;2022-05-18 04:51:40;12,5;56,2
518;2022-05-18 04:56:40;12,5;56,2
519;2022-05-18 05:01:40;12,4;56,2
520;2022-05-18 05:06:40;12,4;56,2
521;2022-05-18 05:11:40;12,4;56,2
522;2022-05-18 05:16:40;12,4;56,2
523;2022-05-18 05:21:40;12,4;56,2
524;2022-05-18 05:26:40;12,3;55,7
525;2022-05-18 05:31:40;12,3;56,2
526;2022-05-18 05:36:40;12,3;55,7
527;2022-05-18 05:41:40;12,2;55,7
528;2022-05-18 05:46:40;12,2;55,7
529;2022-05-18 05:51:40;12,2;55,7
530;2022-05-18 05:56:40;12,2;55,7
531;2022-05-18 06:01:40;12,2;55,7
532;2022-05-18 06:06:40;12,2;55,7
533;2022-05-18 06:11:40;12,2;55,7
534;2022-05-18 06:16:40;12,2;55,7
535;2022-05-18 06:21:40;12,1;55,7
536;2022-05-18 06:26:40;12,1;55,7
537;2022-05-18 06:31:40;12,1;55,7
538;2022-05-18 06:36:40;12,1;55,7
539;2022-05-18 06:41:40;12,1;55,7
540;2022-05-18 06:46:40;12,1;55,7
541;2022-05-18 06:51:40;12,1;55,7
542;2022-05-18 06:56:40;12,1;55,6
543;2022-05-18 07:01:40;12,1;55,6
544;2022-05-18 07:06:40;12,1;55,6
545;2022-05-18 07:11:40;12;55,6
546;2022-05-18 07:16:40;12;55,6
547;2022-05-18 07:21:40;12;55,6
548;2022-05-18 07:26:40;12;55,6
549;2022-05-18 07:31:40;12;55,6
550;2022-05-18 07:36:40;12;55,6
551;2022-05-18 07:41:40;12;55,6
552;2022-05-18 07:46:40;12;55,6
553;2022-05-18 07:51:40;12;55,6
554;2022-05-18 07:56:40;12;55,6
555;2022-05-18 08:01:40;12;55,6
556;2022-05-18 08:06:40;12;55,6
557;2022-05-18 08:11:40;12;55,6
558;2022-05-18 08:16:40;12;55,6
559;2022-05-18 08:21:40;12;55,6
560;2022-05-18 08:26:40;12;55,6
561;2022-05-18 08:31:40;12;55,6
562;2022-05-18 08:36:40;12;55,6
563;2022-05-18 08:41:40;12;56,1
564;2022-05-18 08:46:40;12;56,1
565;2022-05-18 08:51:40;12;56,1
566;2022-05-18 08:56:40;12;56,1
567;2022-05-18 09:01:40;12,1;55,6
568;2022-05-18 09:06:40;12,1;55,7
569;2022-05-18 09:11:40;12,1;56,1
570;2022-05-18 09:16:40;12,2;56,1
571;2022-05-18 09:21:40;12,3;56,2
572;2022-05-18 09:26:40;12,3;56,2
573;2022-05-18 09:31:40;12,4;56,2
574;2022-05-18 09:36:40;12,4;56,2
575;2022-05-18 09:41:40;12,5;56,2
576;2022-05-18 09:46:40;12,5;56,2
577;2022-05-18 09:51:40;12,6;56,2
578;2022-05-18 09:56:40;12,6;56,2
579;2022-05-18 10:01:40;12,7;56,2
580;2022-05-18 10:06:40;12,7;56,2
581;2022-05-18 10:11:40;12,7;56,2
582;2022-05-18 10:16:40;12,8;56,2
583;2022-05-18 10:21:40;12,9;56,2
584;2022-05-18 10:26:40;12,9;56,7
585;2022-05-18 10:31:40;13;56,7
586;2022-05-18 10:36:40;13,1;56,3
587;2022-05-18 10:41:40;13,2;56,3
588;2022-05-18 10:46:40;13,2;56,3
589;2022-05-18 10:51:40;13,3;56,3
590;2022-05-18 10:56:40;13,4;56,3
591;2022-05-18 11:01:40;13,4;56,3
592;2022-05-18 11:06:40;13,4;56,3
593;2022-05-18 11:11:40;13,5;56,3
594;2022-05-18 11:16:40;13,6;56,3
595;2022-05-18 11:21:40;13,6;56,4
596;2022-05-18 11:26:40;13,7;56,4
597;2022-05-18 11:31:40;13,8;56,4
598;2022-05-18 11:36:40;13,8;55,9
599;2022-05-18 11:41:40;13,9;55,9
600;2022-05-18 11:46:40;14;55,9
601;2022-05-18 11:51:40;14;55,9
602;2022-05-18 11:56:40;14;55,9
603;2022-05-18 12:01:40;14,1;55,9
604;2022-05-18 12:06:40;14,2;55,5
605;2022-05-18 12:11:40;14,2;55,5
